Id;Nazwa;Rodzaj
2156;Ob. nr 15/5 i 15/6 - Budynki operacyjne ZKF - Wykonanie instalacji do dozowania środów chemicznych;Zadanie
2158;Wymiana 3 softstartów na falowniki w stacji T-6 PŚ Bogatka;Zadanie
2159;Modernizacja baterii kondensatorów na stacjach transformatorowych na OŚW;Zadanie
2160;Zakup 2 szt. sond pomiaru azotanów Reaktor 3-06;Zadanie
2161;PŚ Motława - wymiana armatury zaporowo - zwrotnej;Zadanie
2162;Odzysk energii ze ścieków na terenie obiektu PŚ Motława i PŚ Ołowianka;Zadanie
2163;PŚ Orłowska - montaż zasuwy odcinającej na dopływie, rurociągu grawitacyjnego, wymiana pomp ściekowych zatapialnych. Wykonanie nowego układu sterowania i zasilania zespołów pompowych;Zadanie
2164;Rekonstrukcja kanału sanitarnego w ul. Wyzwolenia;Zadanie
2165;Przebudowa kanału sanitarnego DN400 i DN200 i sieci wodociagowej w ul. Robotniczej z przyłączeniem do kolektora WM-1;Zadanie
2166;Modernizacja kanalizacji sanitarnej - baza Migowo;Zadanie
2167;Przebudowa kanalizacji sanitarnej DN 200 w ul. Starogardzkiej (od wysokości budynku MOPS);Zadanie
2169;Adaptacja nieczynnego kolektora na Wyspie Sobieszewskiej na ścieżkę rowerową;Zadanie
2170;ul. 3-go Maja - wymiana odcinka sieci kanalizacji sanitarnej DN 250, L=170 m;Zadanie
2171;Przebudowa sieci kanalizacji sanitarnej w ul. Politechnicznej ;Zadanie
2172;Modernizacja wodociągu DN 400 od ul. Krzemowej do Parku Oruńskiego;Zadanie
2173;Wymiana sieci wodociągowej DN250 żel. w ul. Platynowej;Zadanie
2174;Budowa odcinka sieci wodociągowej w ulicy Żabiej;Zadanie
2175;Wykonanie drogi dojazdowej do PŚ Smęgorzyńska 1;Zadanie
2178;Budowa kanalizacji sanitarnej w ul. Westy - Gdańsk Osowa;Zadanie
2179;Przebudowa sieci wodociągowej w rejonie ul. Wenus (ul. Saturna, Merkurego, Jowisza, Andromedy, Mirandy, Urana, Strzelca, Plejady, Woźnicy);Zadanie
2180;Wymiana wodociągu AC w ul. Myśliborskiej (Gdańsk Osowa);Zadanie
2181;Wymiana wodociągu w ul. Sobieskiego-Smoluchowskiego (zadanie skoordynowane z ZDiZ);Zadanie
2182;Budowa i przebudowa sieci wodociągowej w ul. Zenitowej DN200 L=ca350m;Zadanie
2183;Przebudowa odcinka sieci wodociągowej DN150 żel na DN200 żel L=~30m, zlokalizowanej w ul. Targ Drzewny;Zadanie
2184;Uzupełnienie opomiarowania wody pobieranej ze środowiska UW Pręgowo ;Zadanie
2185;Przebudowa sieci wodociągowej dla budynków 128-129 AF i renowacja kanału sanitarnego przy ul. Malczewskiego;Zadanie
2187;Rozebranie komory betonowej na nieczynnym kolektorze sanitarnym 2700x2200 na Wyspie Sobieszewskiej.;Zadanie
2188;Likwidacja odwodnienia magistrali DN500 do Jeziora Osowskiego o dł. 60m - likwidacja odcinka magistrali DN 500 w kierunku Gdynia Kacze Buki;Zadanie
2190;Przebudowa wodociągu DN 150 w ul. Kartuskiej, Borsuczej i Rysiej oraz budowa sieci kanalizacji sanitarnej wzdłuż Kartuskiej miedzy Zwierzyniecką a Szczytników;Zadanie
2191;Likwidacja piezometru i wykonanie otworu zastępczego na UW Czarny Dwór (P-14'/F02);Zadanie
2192;Likwidacja 5 zbędnych piezometrów w obrębie ujęcia wody Lipce;Zadanie
2193;Budowa sieci wodociągowej w ul. Narcyzowej na dł. ok. 364 m;Zadanie
2194;Montaż kraty koszowej i mieszadła w zbiorniku przepompowni ścieków Zawiśle wraz z przebudową kolektora sanitarnego na terenie przepompowni;Zadanie
2196;Rewitalizacja Dolnego Miasta w Gdańsku - przebudowa przyłączy wodociągowych w ulicy Łąkowa, Wróbla oraz w ulicach przyległych;Zadanie
2197;Zmiana zasilania komór pomiarowych K12, K18, K25, K30, K44, K45, K74 z bateryjnego na sieciowe. Wykonanie stałego zasilania dla komory K77.;Zadanie
2199;Opomiarowanie czterech studni wodomierzowych przy Ofiar Grudnia 70, Narciarska (dwie studnie), Piłkarska;Zadanie
2201;Budowa komory redukcyjno-pomiarowej na przewodzie DN 400 w rejonie Zb. Kiełpino;Zadanie
2202;Kanalizacja sanitarna w rejonie ulic Nowej Jabłoniowej, Potęgowskiej, Lubowidzkiej i Goszyńskiej;Zadanie
2203;Budowa sieci kanalizacji sanitarnej i sieci wodociągowej w ul. Matemblewskiej, Tischnera i Waldorffa;Zadanie
2205;Wykonanie przekazu danych z komór pomiarowych Swd2, Swd3, Swd4 na magistrali Osowa-Kiełpino;Zadanie
2511;Budowa przyłącza wodociągowego w ul. Nadwiślańskiej (do posesji przy Gwiaździstej 2 i 4 i przy Nadwiślańskiej 7);Zadanie
2512;Podłączenie do sieci kanalizacji sanitarnej budynku bazy wodomierzy przy ul. Kielnieńskiej 18;Zadanie
2514;Rekonstrukcja kanału DN 200 w ul. Lenartowicza na dł. L=81,5 m metodą wykopową ;Zadanie
2515;Rekonstrukcja kanału DN 250 w ul. Przetocznej na dł. L=21,5m;Zadanie
2516;Budowa odcinka kanalizacji sanitarnej DN 200 w ul. Gerwazego na dł. ok. 110 m;Zadanie
2517;Przebudowa kanału sanitarnego DN 250 w ul. Ogarnej.;Zadanie
2519;Budowa kanalizacji sanitarnej DN 200 w ul. Wiłkomirskiego i Radarowej na dł. ok. 990 m;Zadanie
2520;Przebudowa kanału sanitarnego DN 200 w ul. Pstrowskiego na dł. 10 m;Zadanie
2522;Przebudowa odcinków kolektora "Morena" DN1000 w ul. Cementowej o dł. L=890 m wraz z komorami;Zadanie
2524;PŚ Jasień - Modernizacja układu technologicznego i sterowania przepompowni. wymiana pomp;Zadanie
2525;Wykonanie zasilania elektroenergetycznego wraz z układem pomiarowo-rozliczeniowym energii elektrycznej PS-2 ul. Przełom;Zadanie
2526;Likwidacja PŚ Centaura, PŚ Junony/Antygony oraz PŚ Prometeusza;Zadanie
2527;PŚ Zaspa - Hermetyzacja i ocieplenie krat wraz z kontenerami na skratki. Rozbudowa instalacji dezodoryzacji;Zadanie
2528;PŚ Jaśminowa - Modernizacja przepompowni - wymiana pomp i układów sterowania;Zadanie
2529;Modernizacja 2 szt. zasuw DN 400 na dwóch rurociągach wody surowej i modernizacja armatury: rurociągi (stal nierdzewna), przepustnice (pnaumatyczne), filtry (16 kpl.), aerarory (4 szt.), odpowietrzniki na SUW Czarny Dwór;Zadanie
2530;Modernizacja podziemnej przepompowni ścieków socjalno-bytowych i modernizacja podziemnej pompowni wód popłucznych i technologicznych na SUW Czarny Dwór;Zadanie
2531;Przebudowa węzłów wodociągowych w rejonie ul. Słowackiego, Chrzanowskiego i Reymonta - wydzielenie strefy ZW Wysoki Dwór i Stara Dolina;Zadanie
2532;Budowa pompowni wody na terenie UW Sobieszewo ;Zadanie
2534;UW Dolina Radości - wypiętrzenie obudowy studni 3c ;Zadanie
2535;Modernizacja hydroforni Jana Pawła II lub połączenie II strefy ze strefą I;Zadanie
2536;Likwidacja hydroforni Bajki;Zadanie
2537;Hydrofornia Głęboka - spięcie sieci na wysokości obiektu w celu umożliwienia likwidacji obiektu;Zadanie
2538;Modernizacja pomiarów steżenia osadu na pompowni 7-01, 7-02, 7-03;Zadanie
2539;Modernizacja pomiarów stężenia tlenu na reaktorach biologicznych 3-01 do 3-06 w komorze R6. ;Zadanie
2540;Wymiana barierek ochronnych przy kanałach międzyobiektowych na wysokości przelewu awaryjnego oraz między budynkiem krat a os. wstępnymi (o dł. 200 mb);Zadanie
2541;Ob. Nr 108 - Stacja odwadniania osadu - Wymiana maceratorów Allweiler ABM 80 na maceratory nożowo-sitowe typu RotaCut;Zadanie
2542;Ob. Nr 3-01 - 3-06 - Wymiana mieszadeł pędzących i pompujących - szt. 10  ;Zadanie
2543;Ob. nr 7-01 ÷ 7-06 - Pompownia recyrkulatu - Wymiana wyeksploatowanych pomp osadu KRTK 200 i Amarex - 5 szt.;Zadanie
2544;Ob. nr 3-01 ÷ 3-06 - Reaktory biologiczne - Wykonanie przenośnej instalacji do opróżniania bioreaktorów;Zadanie
2545;Ocz. Wschód - pompownia pośrednia P2 - Wymiana wciągarki ręcznej na wciągarkę elektryczną dwubiegową + wymiana napędu suwnicy z ręcznego na elektryczny;Zadanie
2546;Ob. Nr 4-01, 4-02, 4-04, 4-05 - Rekonstrukcja uszczelnień kanałów doprowadzajacych i odprowadzających ścieki oczyszczone do/z bioreaktorów i z osadników wtórnych;Zadanie
2547;Montaże hydrantów DN 80 na przewodach w ul. Barwnej 4, Beethowena 38, Beethowena 58, Biskupiej 23, Gostyńskiej 16, Nadwiślańskiej 80, Nadwiślańskiej 96, Rzecznej 7a, ul. Trakcie Św. Wojciecha 245, Trakcie Św. Wojciecha 437, Wagnera 22;Zadanie
2548;Przebudowa wodociągu DN 200 żel. przy ul. Grunwaldzkiej 214-238 na dł. 270 m;Zadanie
2549;Likwidacja przewodu wodociągowego DN 100/DN 200 wraz z wymianą przewodu wodociągowego DN 200 (około 500 mb.) w ul. Angielska Grobla, Na Stępce, Długa Grobla, Dziewanowskiego, Wiesława, Zabłotna;Zadanie
2550;Wymiana sieci wodociągowej DN 20/25 stal w ul. Kolonia Postęp na długości ok. L=280 m ;Zadanie
2551;Wymiana sieci wodociągowej DN 20/25/50 w ul. Kolonia Przyszłość na długości ok. L=213 m ;Zadanie
2552;Wymiana wodociągu w ul. Stromej na dł. ok. 320 m;Zadanie
2553;Budowa wodociągu DN 100 w ul. Czarnowskiego;Zadanie
2554;Przebudowa sieci wodociągowej w ul. Bysewskiej na dł. ok. 240 m;Zadanie
2555;Budowa wodociągu i przebudowa kanału sanitarnego DN 200 w ul. Starogardzkiej ;Zadanie
2556;Przebudowa przewodu wodociągowego DN 100 w ul. Poleskiej (ok. 100 mb);Zadanie
2557;Modernizacja (relining) przewodu wod. DN600/550 (ok. 2700 m) z modernizacją węzłów w ul. Nowiny i Trakcie Św. Wojciecha ;Zadanie
2558;Przebudowa sieci wodociągowych: DN 500 (ok. 30 m) w ul. Plac Wałowy/Grodza Kamienna oraz DN100/150 (ok.264/160 m) w ul. Plac Wałowy, Pod Zrębem i Dolna Brama                                                                         ;Zadanie
2559;Likwidacja komory z odpowietrznikiem w jezdni (ul. Schuberta) i wybudowanie nowej na magistrali wodociągowej DN 800 PW Ptasia-ZW Sobieski;Zadanie
2560;Budowa ok. 280 m sieci wodociągowej DN 150 w celu połączenia sieci II strefy Hydroforni "Baczyńskiego" z siecią I strefy;Zadanie
2561;Wymiana sieci wodociągowej DN 40 na długości ok. L=230 m w ul. Kolonia Uroda;Zadanie
2562;Wymiana sieci wodociągowej DN 40 na długości ok. L=155m w ul. Małoogrodowej;Zadanie
2563;Wymiana sieci wodociągowej DN 20/25/32/40/80/100 na długości L=340 m w ul. Kaczeńce (Stogi);Zadanie
2564;Likwidacja przewodu DN 200 AC o L=380 mb. w ul. Siennej Grobli;Zadanie
2565;Wymiana wodociągu DN150 w ul. Żuławskiej ;Zadanie
2566;Wymiana istniejącego wodociągu DN150 w ul. Mostowej na dł. 300 m ;Zadanie
2567;Przebudowa sieci wodociągowej DN32/25 w ul. Kolonia Wyżyny oraz budowa spinki wodociągowej  od ul. Ojcowskiej do ul. Skarpowej na dł. ok. 370 m;Zadanie
2568;Budowa kanalizacji sanitarnej wraz z przepompownią ścieków w rejonie schroniska dla zwierząt (ul. Przyrodników);Zadanie
2569;Przebudowa wodociągu i kanalizacji sanitarnej w ul. Ogarnej.;Zadanie
2570;Przebudowa wodociągu DN 100 w ul. Małachowskiego na dł. 160 m;Zadanie
2571;Budowa spinki wodociągowej od ul. Przytulnej DN 160 do Trasy W-Z na dł. 130 m;Zadanie
2572;Budowa spinki sieci wodociągowej w ul. Sąsiedzkiej ;Zadanie
2573;Opomiarowanie trzech studni wodomierzowych Kowale-Osiedle Olimp, Kowale-hydrofornia, Jankowo;Zadanie
2575;Budowa wodociągu i kanalizacji sanitarnej DN400 w ul. Jaracza;Zadanie
2576;Wykonanie drogi tymczasowej do studni ujęcia Unikom, odwodnienie terenu.;Zadanie
2577;Budowa kolektora sanitarnego WM-1 Nowa Wałowa od Węzła Kliniczna do PŚ Ołowianka;Zadanie
2578;Budowa kanalizacji sanitarnej oraz sieci wodociągowej w dzielnicy Osowa;Zadanie
2579;Budowa kanalizacji sanitarnej w dzielnicy Maćkowy ul. Przemian;Zadanie
2580;Budowa kanalizacji sanitarnej w dzielnicy Smęgorzyno;Zadanie
2581;Przebudowa sieci kanalizacji sanitarnej w zlewni przepompowni ścieków "Czerwony Most";Zadanie
2582;Przebudowa układu sieci kanalizacyjnej w rejonie przepompowni ścieków "Wiewiórcza" i "Trzy Dęby" oraz w ul. Kartuskiej;Zadanie
2583;Przebudowa przepompowni ścieków "Załogowa";Zadanie
2584;Budowa sieci wodociągowej w celu włączenia Wyspy Sobieszewskiej i Płoni Wielkiej do gdańskiego systemu wodociągowego;Zadanie
2585;Budowa wieżowego zbiornika retencyjnego na terenie Wyspy Sobieszewskiej;Zadanie
2586;Rozbudowa oczyszczalni ścieków "Gdańsk-Wschód" etap IIb - zagospodarowanie osadów ściekowych;Zadanie
2587;Przebudowa kolektora sanitarnego Zaroślak;Zadanie
2588;ul. Bysewska  - budowa magistrali wodociągowej DN 200;Zadanie
2590;ul. Wschodnia - wymiana sieci wodociągowej;Zadanie
2591;Uszczelnienie Zbiornika wody Sobieski - Nr 1 i 2;Zadanie
2592;OŚW - naprawa i uszczelnienie bioreaktora 3-04 i 3-06 wraz z uszczelnieniem kanałów dopływowych
;Zadanie
2593;Budowa przepompowni ścieków Wydmy wraz z kanalizacją sanitarną;Zadanie
2594;Promocja GPWŚ II;Zadanie
2595;Obsługa JRP II;Zadanie
2599;OŚW - naprawa i uszczelnienie bioreaktora 3-01 wraz z uszczelnieniem kanałów dopływowych
;Zadanie
2601;OŚW - naprawa i uszczelnienie bioreaktora 3-02 wraz z uszczelnieniem kanałów dopływowych
;Zadanie
2602;Przebudowa sieci wodociągowej w ul. Narwickiej;Zadanie
2604;Program wymiany sieci wodociagowych wykonanych z azbestocementu - sektor na Przymorzu;Zadanie
2608;Przebudowa przepompowni ścieków Motława ;Zadanie
2609;Przebudowa układu tłocznego z przepompowni ścieków "Motława" do komory K2;Zadanie
2610;Budowa kolektora "żuławskiego" we współpracy z gminami sąsiadującymi z Gdańskiem;Zadanie
2613;Przebudowa przepompowni ścieków "Stogi" wraz z modernizacją układu kanalizacyjnego;Zadanie
2614;Program wymiany sieci wodociagowych wykonanych z azbestocementu - kontynuacja;Zadanie
2616;Przebudowa  kolektora sanitarnego DN 600 i DN 900/600 w rejonie ul. Marynarki Polskiej i M. Reja;Zadanie
2619;Kontynuacja budowy kolektora sanitarnego WM-1 do Węzła Kliniczna - zad. 5 (ul. Swojska, Twarda, Marynarki Polskiej);Zadanie
2625;K.10  - inżynier kontraktu;Zadanie
2627;Usługi obce, dostawy i roboty budowlane związane z wykonaniem zastępczym usuwania usterek w okresie rękojmi;Zadanie
2628;Wymiana istniejących niezidentyfikowanych przyłączy ołowianych i stalowych;Zadanie
2629;ul. Nowiny - modernizacja kolektora sanitarnego;Zadanie
2630;Kolektor Ołowianka II - Prace dodatkowe dot. Kontraktu 2, mające na celu zwiększenia bezpieczeństwa oraz poprawę eksploatacji kolektora Ołowianka II;Zadanie
2631;ul. Jeziorowa - budowa kanalizacji sanitarnej;Zadanie
2632;Trakt Św. Wojciecha - budowa sieci kanalizacji sanitarnej;Zadanie
2633;Budowa kanalizacji sanitarnej - podłączenie Muzeum II Wojny Światowej do kolektora WM-1;Zadanie
2634;ul. Równa - budowa kanalizacji sanitarnej;Zadanie
2635;Przebudowa kanalizacji sanitarnej w ul.Doki z podłączeniem do kolektora WM-1 (ECS);Zadanie
2636;Likwidacja tymczasowej PŚ i przełączenie do WM-1 kanalizacji sanitarnej z ul. Doki;Zadanie
2637;ul. Jantarowa, ul. Piastowska (kanalizacja zdroju);Zadanie
2638;ul. Kielnieńska - budowa kanalizacji sanitarnej wraz z przyłączami, etap II - kontynuacja;Zadanie
2639;ul. Fromborska - przebudowa i wymiana sieci kanalizacji sanitarnej;Zadanie
2640;ul. Nad Brzegiem 1A - utwardzenie placu wokół przepompowni wraz z wykonaniem fundamentu pod żurawik;Zadanie
2641;Modernizacja linii napowietrzno-kablowej SN 15kV;Zadanie
2642;Wykonanie robót energetycznych - zabezpieczenie i uruchomienie urzadzeń energet. ;Zadanie
2643;Wykonanie prac projektowych umożliwiających nowemu wykonawcy dokończenie robót;Zadanie
2644;Remont budynku agregatorni, demontaż likwidowanych urządzeń, dostawa nowego agregatu;Zadanie
2645;Dokończenie robót na ujęciu i SUW Lipce  z zakresu GPWŚ I;Zadanie
2648;Likwidacja i odwiert zastępczy studni M-1;Zadanie
2649;Zakup i montaż falownika dla zespołu pompowego II stopnia Nr 3 o mocy 250kW.;Zadanie
2650;Modernizacja zasilania (110 kV) ujęcia;Zadanie
2651;ul. Grodzka i Wapiennicza - przebudowa sieci wodociągowej;Zadanie
2652;ul. Wassowskiego - przebudowa sieci wodociągowej;Zadanie
2653;Budowa sieci wodociagowej DN250 w ul. Budowlanych;Zadanie
2654;Budowa komory reduktora w  ul. Smęgorzyńskiej w rejonie skrzyżowania z ul. Kartuską;Zadanie
2655;ul. Przybrzeżna/Olszyńska - przebudowa przewodu wodociągowego ;Zadanie
2656;ul. Trakt Św. Wojciecha - likwidacja sieci wodociągowej AC;Zadanie
2657;ul.Falowa/Barwna - budowa przewodu wodociągowego;Zadanie
2658;ul. Przegalińska - wymiana przyłącza wodociągowego;Zadanie
2659;ul. Polanki - modernizacja węzłów wodociągowych - związana z czyszczeniem sieci;Zadanie
2660;ul. Jelitkowska - budowa komory pomiarowej na granicy Gdańska i Sopotu;Zadanie
2661;Budowa komory reduktora w rejonie ul. Grunwaldzkiej/Derdowskiego;Zadanie
2662;Budowa komory reduktora w rejonie ul. Grunwaldzkiej/Opackiej;Zadanie
2663;ul. Brzeźnieńska;Zadanie
2664;ul. Łużycka;Zadanie
2665;Przebudowa układu technologicznego;Zadanie
2667;Roboty uzupełniające na SUW Zakoniczyn;Zadanie
2668;Likwidacja obiektu - stacja uzdatniania;Zadanie
2669;UW Oczyszczalnia Wschód - wypiętrzenie studzien K-1 i K-2 / UW Krakowiec II - wypiętrzenie studni K-3;Zadanie
2670;UW Stocznia Wisła - Likwidacja obiektu;Zadanie
2671;Montaż regulatora ciśnień na terenie PP Nowy Sobieski i budowa magistrali DN200 umożliwiającej zasilanie w wodę ze strefy Migowo strefy zbiornika Wysoki Dwór;Zadanie
2672;Odprowadzenie wód technologicznych;Zadanie
2673;Przestawienie ogrodzenia hydroforni Dragana;Zadanie
2674;Odprowadzenie wód technologicznych;Zadanie
2675;ZW Wysoki Dwór - Wykup gruntów i wykonanie schodów;Zadanie
2676;Ob. nr 103 - Komora rozdziału - wymiana barierek i gretingów wraz z remontem komory;Zadanie
2677;Ob. nr 8 - Stacja dmuchaw - modernizacja układu chłodzenia;Zadanie
2678;Ob. nr 36 - Komora rozdziału - wymiana barierek, gretingów i drabin, wymiana lamp oświetleniowych;Zadanie
2679;Wymiana ogrodzenia magazynu na OŚ Wschód;Zadanie
2680;Modernizacja magistrali wodociągowej O400mm Ptasia - Hebanowskiego;Zadanie
2681;Przebudowa sieci i likwidacja przepompowni wody Nowolipie ;Zadanie
2682;ul. Raduńska - przebudowa sieci wodociągowej;Zadanie
2684;ul. Stokłosy - budowa sieci wodociągowej (spięcie z siecią Unikom);Zadanie
2685;ul. Nadwiślańska - wymiana sieci wodociągowej;Zadanie
2686;Budowa sieci wodociągowej z przyłączami - ul. Buczka;Zadanie
2687;ul. Chałubińskiego 33-37 - wymiana przewodu wodociągowego DN 100;Zadanie
2688;Kontynuacja modernizacji węzłów wodociągowych w Gdańsku Oliwie ;Zadanie
2689;ul. Wajdeloty;Zadanie
2690;Przebudowa wodociągu w ul. Starogardzkiej - most na Kanale Raduni;Zadanie
2691;Likwidacja 13 szt. studzien głębinowych;Zadanie
2692;Naprawa uszkodzonych urządzeń i poprawienie warunków BHP na SUW Lipce;Zadanie
2694;Ob. nr 108-stacja odwadniania osadu -wymiana 1 szt. wirówki NOXON DC40 na nowe urzadzenie doodwadniania osadu;Zadanie
2695;Ob nr 108 - stacja odwadniania osadu - wymiana 2 szt. wirówek Noxon DC 40 na nowe urządzenia do odwadniania osadu;Zadanie
2701;Wymiana istniejących niezidentyfikowanych przyłączy ołowianych i stalowych w 2014r.;Zadanie
2705;Przebudowa kolektora sanitarnego Wrzeszcz-Ołowianka od Placu Zebrań Ludowych do ul. Do Studzienki;Zadanie
2712;Rekonstrukcja kanału w ul. Kaletniczej na dł. 88 m;Zadanie
2720;Renowacja kanału na odcinku ok. 100 m w ul. Malczewskiego;Zadanie
2722;Wymiana rozdzielni sterującej na UW Świbno;Zadanie
2724;ul. Dragana - renowacja magistrali wodociągowej DN 600   ;Zadanie
2725;Wymiana sieci wodociągowej DN100/125 w ulicy Małomiejskiej;Zadanie
2726;Budowa kanalizacji sanitarnej w ul. Świętokrzyskiej;Zadanie
2727;Przebudowa sieci wodociągowej i sieci kanalizacji sanitarnej w ul. Sobieskiego od Traugutta do ul. Smoluchowskiego (Nowej Medyków);Zadanie
2728;Wymiana sieci wodociągowej DN 100 o dł. ok. 256 m w ul. Walecznych (od Dworskiej do Orlej);Zadanie
2729;Przebudowa sieci wodociągowej w ul. Traugutta (od ul. Do Studzienki do Al. Zwycięstwa);Zadanie
2730;Przebudowa sieci wodociągowej w rejonie ul. Letniskowej ;Zadanie
2731;Wymiana sieci wodociągowej DN200 w ulicy Siennej;Zadanie
2732;Ustalenie zasobów dyspozycyjnych wody w strefie krawędziowej dla obszaru ujęć Kokoszki i Smęgorzyno;Zadanie
2733;Likwidacja ogrodzenia i piezometru 1/C - UW Czarny Dwór;Zadanie
2734;Dostawa i montaż agregatu prądotwórczego na PŚ Bysewo;Zadanie
2737;Ob. nr 15/3 - ZKF - Montaż dodatkowego bezpiecznika na komorze;Zadanie
2738;Wykonanie i obsługa tymczasowej przepompowni ścieków na ul. Jelitkowskiej;Zadanie
2739;Wymagania do wykonania ekspertyzy technicznej analizy stanu kolektora Morena;Zadanie
2742;Wykonanie przyłącza wodociągowego w celu umożliwienia likwidacji SUW Złota Karczma ;Zadanie
2743;Adaptacja budynku warsztatowego na terenie dawnej Oczyszczalni Ścieków Zaspa na zaplecze socjalne brygad sieci kanalizacyjnej;Zadanie
2744;Przebudowa sieci wodociągowej przy ul. Wagnera 22 i 22A;Zadanie
2746;Montaż studni wodomierzowej na istniejącym przyłączu ul. Szczęśliwa 48;Zadanie
2748;Przebudowa sieci wodociągowej w ul. Bałtyckiej;Zadanie
2757;Betonowa waga samochodowa na terenie ITPO;Zadanie
2758;Likwidacja wodociągu DN200 pod mostem Stągiewnym nad rzeką Nowa Motława;Zadanie
2759;Modernizacja opomiarowania wody ujętej na UW Straszyn -  Pompownia I stopnia, Pompownia II stopnia, Filtry;Zadanie
2760;Projekt i realizacja schodów w komorze zasuw zbiorników wody na UW Straszyn;Zadanie
2761;Montaż 2 szt. drabinek BHP na Osadniku WOR - UW Straszyn;Zadanie
2762;Zakup 3 szt. nowych pomp dwugłowicowych dozujących koagulant. Przystosowanie układu dozowania dostosowane do obecnych potrzeb oraz do docelowej koncepcji pracy ujęcia wraz ze sterowaniem, automatyzacją i wizualizacją lokalną i z poziomu centralnej dy;Zadanie
2763;Wykonanie zasilania elektroenergetycznego do studni głębinowej nr 3 UW Lipce (ramię południe);Zadanie
2764;Wykonanie wentylacji w budynkach magazynowo-garażowych na SUW Czarny Dwór;Zadanie
2765;Likwidacja nieczynnej magistrali DN 1200 od Straszyna w kierunku ZW Orunia;Zadanie
2766;Wymiana odcinka wodociągu DN 100 na całej długości ulicy Wierzbowej (ok.80 mb);Zadanie
2767;Przebudowa przewodu wodociągowego DN 80 w ul. Fultona przy ul. Morenowej (ok.71 mb);Zadanie
2768;Wymiana dwóch odcinków wodociągu DN 150  podwieszonych pod mostem w ul.Elbląskiej na dł. 40 mb;Zadanie
2770;Zakup i montaż zestawu hydroforowego oraz urządzeń do przekazu telemetrycznego danych dla SPC Grunwaldzka;Zadanie
2771;Budowa komory z montażem zaworu eletromagnetycznego odcinającego na przewodzie DN 250 w rejonie ul. Nadwiślańskiej;Zadanie
2772;Budowa przewodu łączącego końcówki przewodów 110 PCV w ul. Pasteura i Wileńskiej;Zadanie
2773;Budowa komory i montaż zaworu redukcyjnego ciśnienia z zabudową na przewodzie DN 150 w ul. Jaśkowa Dolina/Falista;Zadanie
2774;Wymiana nieefektywnych istniejących separatorów siarki;Zadanie
2775;Wymiana wyeksploatowanej prasy do zagęszczania osadu na nową prasę lub wymiana na wirówkę o wydajności ~150m3/h.;Zadanie
2776;Ob.  nr 9 - Budowa nowej stacji zlewczej na 4 stanowiska;Zadanie
2777;Wykonanie oświetlenia rejonu krat na terenie przepompowni ścieków Bogatka wraz z wymianą istniejących słupów betonowych;Zadanie
2779;Przebudowa wentylacji przepompowni oraz budowa systemu dezodoryzacji na PŚ Bysewo;Zadanie
2780;Przebudowa placu i tacy ociekowej wokół kontenerów zlewczych w punkcie zlewnym PŚ Bysewo;Zadanie
2781;Termomodernizacja budynku biurowego na terenie PŚ Zaspa;Zadanie
2782;Przebudowa przyłącza kanalizacyjnego Trakt Św. Wojciecha 82;Zadanie
2783;Modernizacja kanału sanitarnego DN 200 w ul. Witosa 7 metodą bezwykopową, L=21m        ;Zadanie
2784;Modernizacja kanału sanitarnego DN 250 L= 152 m w ul. Saperów metodą wykopową;Zadanie
2785;Modernizacja kolektora sanitarnego "Radunia"  DN 800, L=2x45m w rejonie ul.Trakt Św Wojciecha 277;Zadanie
2786;Modernizacja przyłączy ks do budynków mieszkalnych przy ul. Worcella 13, DN 150, L=22 m, Bitwy pod Lenino 6 DN 150 L=19m;Zadanie
2787;Modernizacja sieci wodociągowej (ok 590 m) i kanalizacji sanitarnej (ok 230m) w ul. Twardej wraz z przyłączem ks w ul Twardej 3B;Zadanie
2788;Przebudowa kanału sanitarnego DN200 o dł. 464  m w ul. Chałubińskiego ;Zadanie
2789;Przebudowa kanału sanitarnego DN 350, L= 61m w ul. Grunwaldzkiej/ Miszewskiego;Zadanie
2790;Likwidacja nieczynnego kolektora sanitarnego DN 200 "Złota Karczma";Zadanie
2792;Budowa wodociągu DN 150 w moście nad Potokiem Kozackim - układ drogowy ul. Guderskiego;Zadanie
2793;Przebudowa sieci wodociągowej w ul. Kołobrzeskiej;Zadanie
2794;Budowa kanalizacji sanitarnej w rejonie ul. Letnickiej na dł. ok. 270 m;Zadanie
2795;Dyspozytornia ujęcia - wymiana zużytych paneli operatorskich modyfikujących parametry pracy ujęcia Czarny Dwór;Zadanie
2796;Likwidacja SPC Kiełpinek i budowa komory pomiarowej na przewodzie DN150 w rejonie ronda Kuronia;Zadanie
2797;Budowa budynku socjalno-warsztatowego na potrzeby ITPO oraz zaplecza dydaktyczno-edukacyjnego na terenie Oczyszczalni Ścieków Wschód;Zadanie
2799;Przebudowa wodociągu DN 100 w ul. Szarej o łącznej dł.258 m;Zadanie
2800;Wymiana przyłączy wodociągowych w ul.Sienkiewicza;Zadanie
2801;Wymiana sieci wodociągowej DN 100/200 w ul. Piastowskiej na dł. ok. 630 m;Zadanie
2802;Przebudowa sieci wodociągowej DN 150 w ul. Długie Ogrody na odcinku ul. Szafarnia-Długa Grobla o łącznej dł. 550 m;Zadanie
2803;Wymiana sieci wodociagowej DN 100/150 w ul. Pod Zrębem na dł. 170 m;Zadanie
